itemid,label,category,fluid,tracked,n_rows,units,loinc
51296,Teardrop Cells,Hematology,Blood,,8995,,7791-7
50914,Cyclosporin,Chemistry,Blood,,8777,ng/mL,3521-2
50925,Folate,Chemistry,Blood,,8752,ng/mL,2284-8
51151,Burr Cells,Hematology,Blood,,8432,,7790-9
51288,Sedimentation Rate,Hematology,Blood,,8377,mm/hr,4537-7
50917,Digoxin,Chemistry,Blood,,8358,ng/mL,10535-3
50995,"Thyroxine (T4), Free",Chemistry,Blood,,8104,ng/dL;ng/dl;,3024-7
50930,Globulin,Chemistry,Blood,,7920,g/dL,2336-6
51099,Protein/Creatinine Ratio,Chemistry,Urine,,7709,Ratio,2890-2
50963,NTproBNP,Chemistry,Blood,,6943,pg/mL;,33762-6
51462,Amorphous Crystals,Hematology,Urine,,6839,,8246-1
50889,C-Reactive Protein,Chemistry,Blood,,6604,mg/dL;mg/L;MG/DL;,1988-5
51240,Large Platelets,Hematology,Blood,,6580,,34167-7
51479,Granular Casts,Hematology,Urine,,6545,#/lpf,5793-5
50929,Gentamicin,Chemistry,Blood,,6511,ug/mL,35668-3
51294,Target Cells,Hematology,Blood,,5806,,10381-2
50955,Light Green Top Hold,Chemistry,Blood,,5597,,
51501,Transitional Epithelial Cells,Hematology,Urine,,5284,#/hpf,30089-7
51213,Fibrin Degradation Products,Hematology,Blood,,5118,ug/mL,30226-5
51351,Lymphs,Hematology,Cerebrospinal Fluid (CSF),,4732,%,26479-6
51363,"WBC, CSF",Hematology,Cerebrospinal Fluid (CSF),,4718,#/uL,26465-5
51355,Monocytes,Hematology,Cerebrospinal Fluid (CSF),,4701,%,26486-1
51362,"RBC, CSF",Hematology,Cerebrospinal Fluid (CSF),,4700,#/uL,26454-9
51360,Polys,Hematology,Cerebrospinal Fluid (CSF),,4689,%,26517-3
51196,D-Dimer,Hematology,Blood,,4476,ng/mL;,48065-7
50965,Parathyroid Hormone,Chemistry,Blood,,4355,pg/mL,2731-8
51018,"Total Protein, CSF",Chemistry,Cerebrospinal Fluid (CSF),,4181,mg/dL,2880-3
50940,Hepatitis B Surface Antibody,Chemistry,Blood,,4175,,5193-8
51014,"Glucose, CSF",Chemistry,Cerebrospinal Fluid (CSF),,4077,mg/dL,2342-4
50941,Hepatitis B Surface Antigen,Chemistry,Blood,,4020,,5196-1
50866,Ammonia,Chemistry,Blood,,3908,umol/L,16362-6
51278,Red Blood Cell Fragments,Hematology,Blood,,3876,,
51145,Basophilic Stippling,Hematology,Blood,,3849,,703-9
50854,Absolute A1c,Chemistry,Blood,,3791,,4548-4
50855,Absolute Hemoglobin,Chemistry,Blood,,3791,,718-7
51103,Uhold,Chemistry,Urine,,3749,,
50974,Prostate Specific Antigen,Chemistry,Blood,,3635,ng/mL;ug/L,2857-1
51148,Blasts,Hematology,Blood,,3456,%,708-8
50943,Hepatitis C Virus Antibody,Chemistry,Blood,,3399,,16128-1
51474,Eosinophils,Hematology,Urine,,3365,,25156-1
50978,Rapamycin,Chemistry,Blood,,3360,ng/mL,29247-4
51128,"WBC, Ascites",Hematology,Ascites,,3347,#/uL;#/CU MM,26468-9
51116,Lymphocytes,Hematology,Ascites,,3346,%,26482-0
51120,Monocytes,Hematology,Ascites,,3345,%,26488-7
51125,Polys,Hematology,Ascites,,3344,%,26520-7
50950,Immunoglobulin G,Chemistry,Blood,,3320,mg/dL,2465-3
51127,"RBC, Ascites",Hematology,Ascites,,3280,#/uL;#/CU MM,26457-2
50994,Thyroxine (T4),Chemistry,Blood,,3201,uG/DL;ug/dL,3026-2
50975,Protein Electrophoresis,Chemistry,Blood,,3035,,24351-9
50900,Carcinoembyronic Antigen (CEA),Chemistry,Blood,,3031,ng/mL,2039-6
50942,Hepatitis B Virus Core Antibody,Chemistry,Blood,,2804,,5187-0
51292,Spherocytes,Hematology,Blood,,2783,,802-9
50864,Alpha-Fetoprotein,Chemistry,Blood,,2779,ng/mL;nG/ML,1834-1
50949,Immunoglobulin A,Chemistry,Blood,,2744,mg/dL,2458-8
51008,Valproic Acid,Chemistry,Blood,,2689,ug/mL,4086-5
51458,"WBC, Pleural",Hematology,Pleural,,2614,#/uL,26467-1
51446,Lymphocytes,Hematology,Pleural,,2613,%,26481-2
51450,Monos,Hematology,Pleural,,2613,%,33362-5
51455,Polys,Hematology,Pleural,,2612,%,26519-9
50951,Immunoglobulin M,Chemistry,Blood,,2608,mg/dL,2472-9
50927,Gamma Glutamyltransferase,Chemistry,Blood,,2529,IU/L,2324-2
51059,"Total Protein, Pleural",Chemistry,Pleural,,2525,g/dL,2882-9
51054,"Lactate Dehydrogenase, Pleural",Chemistry,Pleural,,2502,IU/L,2530-4
51269,Promyelocytes,Hematology,Blood,,2489,%,781-5
51180,"CD4 Cells, Percent",Hematology,Blood,,2463,%,8127-3
51457,"RBC, Pleural",Hematology,Pleural,,2446,#/uL,26456-4
51069,"Albumin, Urine",Chemistry,Urine,,2381,mg/dL,1754-1
51245,"Lymphocytes, Percent",Hematology,Blood,,2378,%,26478-8
51133,Absolute Lymphocyte Count,Hematology,Blood,,2377,#/uL,26474-7
51300,WBC Count,Hematology,Blood,,2371,K/uL,26464-8
51131,Absolute CD4 Count,Hematology,Blood,,2335,#/uL,8128-1
51176,"CD3 Cells, Percent",Hematology,Blood,,2333,%,8122-4
51134,Acanthocytes,Hematology,Blood,,2331,,7789-1
51117,Macrophage,Hematology,Ascites,,2280,%,40517-5
51001,Triiodothyronine (T3),Chemistry,Blood,,2270,ng/dL;NG/DL,3053-6
51053,"Glucose, Pleural",Chemistry,Pleural,,2221,mg/dL,2346-5
51194,"CD8 Cells, Percent",Hematology,Blood,,2188,%,8137-2
51284,"Reticulocyte Count, Manual",Hematology,Blood,,2173,%,31112-6
51070,"Albumin/Creatinine, Urine",Chemistry,Urine,,2165,mg/g;,14958-3
51518,WBC Clumps,Hematology,Urine,,2110,,
51130,Absolute CD3 Count,Hematology,Blood,,2081,#/uL,8124-0
51181,CD4/CD8 Ratio,Hematology,Blood,,2062,Ratio,8129-9
51118,Mesothelial Cell,Hematology,Ascites,,2061,%,30432-9
51132,Absolute CD8 Count,Hematology,Blood,,2061,#/uL,8138-0
51497,Renal Epithelial Cells,Hematology,Urine,,2058,#/hpf,26052-1
50805,Carboxyhemoglobin,Blood Gas,Blood,,2056,%,20563-3
50814,Methemoglobin,Blood Gas,Blood,,2047,%,2614-6
50873,Anti-Nuclear Antibody,Chemistry,Blood,,2010,,5047-6
50906,"Cholesterol, LDL, Measured",Chemistry,Blood,,2001,mg/dL,18262-6
51427,Lymphocytes,Hematology,Other Body Fluid,,1969,%,11031-2
51436,Polys,Hematology,Other Body Fluid,,1969,%,26518-1
51431,Monos,Hematology,Other Body Fluid,,1966,%,10330-9
51219,H/O Smear,Hematology,Blood,,1880,,38924-7
50966,Phenobarbital,Chemistry,Blood,,1871,ug/mL,3947-9
50849,"Total Protein, Ascites",Chemistry,Ascites,,1805,g/dL,2883-7
51098,"Prot. Electrophoresis, Urine",Chemistry,Urine,,1780,+/-;,13438-7
51259,Other Cells,Hematology,Blood,,1762,%,729-4
51197,Elliptocytes,Hematology,Blood,,1606,,6681-1
50944,HIV Antibody,Chemistry,Blood,,1597,,5220-9
50835,"Albumin, Ascites",Chemistry,Ascites,,1592,g/dL,1749-1
51216,Fragmented Cells,Hematology,Blood,,1552,,10373-9
51447,Macrophages,Hematology,Pleural,,1528,%,40520-9
51439,"WBC, Other Fluid",Hematology,Other Body Fluid,,1519,#/uL,26466-3
51448,Mesothelial Cells,Hematology,Pleural,,1511,%,30431-1
50937,Hepatitis A Virus Antibody,Chemistry,Blood,,1494,Pos/Neg;,5183-9
50831,pH,Blood Gas,Other Body Fluid,,1442,units;,2748-2
51469,Calcium Oxalate Crystals,Hematology,Urine,,1420,,5774-5
50857,Acetone,Chemistry,Blood,,1409,,5567-3
51438,"RBC, Other Fluid",Hematology,Other Body Fluid,,1368,#/uL,26455-6
50891,C4,Chemistry,Blood,,1352,mg/dL,4498-2
50890,C3,Chemistry,Blood,,1290,mg/dL,4485-9
51147,Bite Cells,Hematology,Blood,,1287,,10371-3
50997,Tobramycin,Chemistry,Blood,,1282,ug/mL,35670-9
50843,"Lactate Dehydrogenase, Ascites",Chemistry,Ascites,,1243,IU/L,2531-2
50915,D-Dimer,Chemistry,Blood,,1192,ng/mL,
50842,"Glucose, Ascites",Chemistry,Ascites,,1186,mg/dL,2347-3
51046,"Albumin, Pleural",Chemistry,Pleural,,1175,g/dL,1748-3
51108,Urine Volume,Chemistry,Urine,,1174,mL,28009-9
51094,pH,Chemistry,Urine,,1157,,2756-5
51352,Macrophage,Hematology,Cerebrospinal Fluid (CSF),,1138,%,30426-1
51428,Macrophage,Hematology,Other Body Fluid,,1078,%,12230-9
50836,"Amylase, Ascites",Chemistry,Ascites,,1059,IU/L,1797-0
51513,Urine Specimen Type,Hematology,Urine,,1059,,19159-3
51505,Uric Acid Crystals,Hematology,Urine,,1057,,5817-2
51095,"Phosphate, Urine",Chemistry,Urine,,1019,mg/dL,2778-9
51076,"Bicarbonate, Urine",Chemistry,Urine,,1000,mEq/L;,1964-6
50968,"Phenytoin, Free",Chemistry,Blood,,960,ug/mL;,3969-3
51261,Pappenheimer Bodies,Hematology,Blood,,943,,7795-8
50969,"Phenytoin, Percent Free",Chemistry,Blood,,895,%;,10548-6
50957,Lithium,Chemistry,Blood,,890,mmol/L,3719-2
50892,CA-125,Chemistry,Blood,,889,U/mL,10334-1
51077,"Calcium, Urine",Chemistry,Urine,,887,mg/dL,2004-0
50899,Carbamazepine,Chemistry,Blood,,882,ug/mL,3432-2
50946,Human Chorionic Gonadotropin,Chemistry,Blood,,872,mIU/mL,2119-6
50980,Rheumatoid Factor,Chemistry,Blood,,834,IU/mL;I.U.,6928-6
51231,Howell-Jolly Bodies,Hematology,Blood,,829,,7793-3
50948,Immunofixation,Chemistry,Blood,,815,,49275-1
50945,Homocysteine,Chemistry,Blood,,812,umol/L,13965-9
50872,Anti-Neutrophil Cytoplasmic Antibody,Chemistry,Blood,,794,,35279-9
51086,"Immunofixation, Urine",Chemistry,Urine,,791,,49276-9
50838,"Bilirubin, Total, Ascites",Chemistry,Ascites,,784,mg/dL,14422-0
51444,Eosinophils,Hematology,Pleural,,778,%,30379-2
51026,"Amylase, Body Fluid",Chemistry,Other Body Fluid,,757,IU/L,1795-4
51047,"Amylase, Pleural",Chemistry,Pleural,,726,IU/L,1796-2
50938,Hepatitis A Virus IgM Antibody,Chemistry,Blood,,722,,22314-9
50932,Gray Top Hold (plasma),Chemistry,Blood,,717,,
51411,CD45,Hematology,Other Body Fluid,,715,,17823-6
51236,Inpatient Hematology/Oncology Smear,Hematology,Blood,,685,,
51375,Lymphocytes,Hematology,Joint Fluid,,683,%,26483-8
51379,Monocytes,Hematology,Joint Fluid,,683,%,17835-0
51382,Polys,Hematology,Joint Fluid,,683,%,26522-3
51384,"WBC, Joint Fluid",Hematology,Joint Fluid,,683,#/uL,26469-7
51398,CD19,Hematology,Other Body Fluid,,682,,17829-3
50939,"Hepatitis B Core Antibody, IgM",Chemistry,Blood,,677,,31204-1
51085,"HCG, Urine, Qualitative",Chemistry,Urine,,659,+/-,2106-3
51347,Eosinophils,Hematology,Cerebrospinal Fluid (CSF),,655,%,26451-5
51067,24 hr Creatinine,Chemistry,Urine,,653,mg/24hr;mg/24hours,2162-6
51229,"Heparin, LMW",Hematology,Blood,,643,U/mL,32684-3
51015,"Lactate Dehydrogenase, CSF",Chemistry,Cerebrospinal Fluid (CSF),,642,IU/L,2528-8
51342,Wright Giemsa,Hematology,Bone Marrow,,637,,10355-6
51453,Other,Hematology,Pleural,,633,%,
51383,"RBC, Joint Fluid",Hematology,Joint Fluid,,611,#/uL,26458-0
51419,Eosinophils,Hematology,Other Body Fluid,,601,%,26452-3
50895,Calculated TBG,Chemistry,Blood,,592,Ratio,3027-0
51005,Uptake Ratio,Chemistry,Blood,,592,Ratio;RATIO,3050-2
51373,"Joint Crystals, Number",Hematology,Joint Fluid,,591,,
50896,Calculated Thyroxine (T4) Index,Chemistry,Blood,,584,ug/dL;uG/DL,32215-6
51297,Thrombin,Hematology,Blood,,580,sec,3243-3
51424,Immunophenotyping,Hematology,Other Body Fluid,,574,,
51114,Eosinophils,Hematology,Ascites,,566,%,30380-0
50874,"Anti-Nuclear Antibody, Titer",Chemistry,Blood,,565,,8061-4
51425,Kappa,Hematology,Other Body Fluid,,555,,
51426,Lambda,Hematology,Other Body Fluid,,555,,
51243,Lupus Anticoagulant,Hematology,Blood,,554,,
50898,Cancer Antigen 27.29,Chemistry,Blood,,551,U/mL,17842-6
51434,Other Cell,Hematology,Other Body Fluid,,546,%,
50988,Testosterone,Chemistry,Blood,,539,ng/dL,2986-8
50841,"Creatinine, Ascites",Chemistry,Ascites,,520,mg/dL,12191-3
51264,Platelet Clumps,Hematology,Blood,,518,,40741-1
51138,Anticardiolipin Antibody IgG,Hematology,Blood,,514,GPL,8065-5
51139,Anticardiolipin Antibody IgM,Hematology,Blood,,514,MPL,3182-3
51105,"Uric Acid, Urine",Chemistry,Urine,,494,MG/DL;mg/dL,3086-6
51043,"Total Protein, Body Fluid",Chemistry,Other Body Fluid,,488,g/dL,2881-1
51206,Factor VIII,Hematology,Blood,,482,%,3209-4
51429,Mesothelial cells,Hematology,Other Body Fluid,,479,%,28544-5
51150,Blood Parasite Smear,Hematology,Blood,,473,,24429-3
51034,"Glucose, Body Fluid",Chemistry,Other Body Fluid,,468,mg/dL,2344-0
51404,CD3,Hematology,Other Body Fluid,,468,,17826-9
51123,Other,Hematology,Ascites,,461,%,
50913,Cryoglobulin,Chemistry,Blood,,458,,5117-7
50996,"Tissue Transglutaminase Ab, IgA",Chemistry,Blood,,453,units;,31017-7
51198,Envelope Cells,Hematology,Blood,,453,,681-7
51088,"Magnesium, Urine",Chemistry,Urine,,431,mg/dL,2598-1
51035,"LD, Body Fluid",Chemistry,Other Body Fluid,,424,IU/L,2529-6
50989,"Testosterone, Free",Chemistry,Blood,,422,pg/mL;ng/dL,2991-8
51025,"Albumin, Body Fluid",Chemistry,Other Body Fluid,,422,g/dL,1747-5
50961,Methotrexate,Chemistry,Blood,,406,umol/L,
50973,Prolactin,Chemistry,Blood,,406,ng/mL;nG/mL,2842-3
50876,Anti-Smooth Muscle Antibody,Chemistry,Blood,,399,,14252-1
51499,Sperm,Hematology,Urine,,398,,8248-7
50871,Anti-Mitochondrial Antibody,Chemistry,Blood,,394,,14236-4
51412,CD5,Hematology,Other Body Fluid,,389,,57423-6
51263,Plasma Cells,Hematology,Blood,,387,%,13047-6
51400,CD20,Hematology,Other Body Fluid,,387,,57418-6
51388,CD10,Hematology,Other Body Fluid,,384,,51217-8
51089,Marijuana,Chemistry,Urine,,377,,3427-2
51028,"Bilirubin, Total, Body Fluid",Chemistry,Other Body Fluid,,355,mg/dL,1974-5
50881,Beta-2 Microglobulin,Chemistry,Blood,,352,mg/L,32731-2
50829,Fluid Type,Blood Gas,Other Body Fluid,,342,,14725-6
51339,Iron Stain,Hematology,Bone Marrow,,340,,13513-7
51503,Triple Phosphate Crystals,Hematology,Urine,,340,,5814-9
51271,"Protein C, Functional",Hematology,Blood,,334,%,27818-4
51358,Other,Hematology,Cerebrospinal Fluid (CSF),,332,%,
51423,HLA-DR,Hematology,Other Body Fluid,,332,,51381-2
51051,"Cholesterol, Pleural",Chemistry,Pleural,,330,mg/dL,9618-0
51140,Antithrombin,Hematology,Blood,,326,%,27811-9
51032,"Creatinine, Body Fluid",Chemistry,Other Body Fluid,,320,mg/dL,12190-5
51529,Estimated Actual Glucose,CHEMISTRY,BLOOD,,320,mg/dL,
51402,CD23,Hematology,Other Body Fluid,,317,,51269-9
51338,Immunophenotyping,Hematology,Bone Marrow,,315,,
51420,FMC-7,Hematology,Other Body Fluid,,314,,57428-5
51343,Atypical Lymphocytes,Hematology,Cerebrospinal Fluid (CSF),,310,%,30416-2
51325,CD45,Hematology,Bone Marrow,,307,,51340-8
50926,Follicle Stimulating Hormone,Chemistry,Blood,,306,mIU/mL;mIU/L,15067-2
50918,Double Stranded DNA,Chemistry,Blood,,301,U/mL,5130-0
51052,"Creatinine, Pleural",Chemistry,Pleural,,293,mg/dL,14399-0
51262,Pencil Cells,Hematology,Blood,,293,,10377-0
51422,"Hematocrit, Other Fluid",Hematology,Other Body Fluid,,288,%,11153-4
51224,Hemoglobin C,Hematology,Blood,,285,%,4561-7
51226,Hemogloblin A,Hematology,Blood,,285,%,10346-5
51227,Hemogloblin S,Hematology,Blood,,285,%,4622-7
51445,"Hematocrit, Pleural",Hematology,Pleural,,285,%,
51091,"Myoglobin, Urine",Chemistry,Urine,,283,,2640-1
51164,CD19,Hematology,Blood,,283,,8117-4
51276,Quantitative G6PD,Hematology,Blood,,277,U/g/Hb,32546-4
51234,Immunophenotyping,Hematology,Blood,,274,,
51517,WBC Casts,Hematology,Urine,,270,#/lpf,5820-6
51232,Hypersegmented Neutrophils,Hematology,Blood,,268,%,766-6
50877,Anti-Thyroglobulin Antibodies,Chemistry,Blood,,266,IU/mL;,5380-1
51489,NonSquamous Epithelial Cell,Hematology,Urine,,263,#/hpf,41284-1
